codigo_sii,actividad_sii,mcc,categoria
773001,"ALQUILER DE EQUIPOS DE TRANSPORTE SIN OPERARIO, EXCEPTO VEHÍCULOS AUTOMOTORES",4457,ARRIENDO DE EMBARCACIONES
772900,ALQUILER DE OTROS EFECTOS PERSONALES Y ENSERES DOMÉSTICOS (INCLUYE MOBILIARIO PARA EVENTOS),7394,"ARRIENDO DE EQUIPOS, HERRAMIENTAS, MUEBLES Y ELECTRODOMÉSTICOS"
773003,"ALQUILER DE MAQUINARIA Y EQUIPO DE OFICINA, SIN OPERARIOS (SIN SERVICIO ADMINISTRATIVO)",7394,"ARRIENDO DE EQUIPOS, HERRAMIENTAS, MUEBLES Y ELECTRODOMÉSTICOS"
773009,ALQUILER DE OTROS TIPOS DE MAQUINARIAS Y EQUIPOS SIN OPERARIO N.C.P.,7394,"ARRIENDO DE EQUIPOS, HERRAMIENTAS, MUEBLES Y ELECTRODOMÉSTICOS"
772200,ALQUILER DE CINTAS DE VIDEO Y DISCOS,7841,ARRIENDO DE PELÍCULAS
772900,ALQUILER DE OTROS EFECTOS PERSONALES Y ENSERES DOMÉSTICOS (INCLUYE MOBILIARIO PARA EVENTOS),7296,"ARRIENDO DE ROPA: DISFRACES, UNIFORMES, ROPA FORMAL"
476103,VENTA AL POR MENOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO EN COMERCIOS ESPECIALIZADOS,5943,ARTÍCULOS DE ESCRITORIO Y ÚTILES ESCOLARES
949909,ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.,8641,"ASOCIACIONES CÍVICAS, SOCIALES Y FRATERNALES"
900002,"ACTIVIDADES ARTÍSTICAS REALIZADAS POR BANDAS DE MÚSICA, COMPAÑÍAS DE TEATRO, CIRCENSES Y SIMILARES",7929,"BANDAS, ORQUESTAS Y ARTISTAS DIVERSOS (NO CLASIFICADOS EN OTRA PARTE)"
900003,"ACTIVIDADES DE ARTISTAS REALIZADAS DE FORMA INDEPENDIENTE: ACTORES, MÚSICOS, ESCRITORES, ENTRE OTROS",7929,"BANDAS, ORQUESTAS Y ARTISTAS DIVERSOS (NO CLASIFICADOS EN OTRA PARTE)"
562100,SUMINISTRO DE COMIDAS POR ENCARGO (SERVICIOS DE BANQUETERÍA),5811,BANQUETERÍA
563001,"ACTIVIDADES DE DISCOTECAS Y CABARET (NIGHT CLUB), CON PREDOMINIO DEL SERVICIO DE BEBIDAS",5813,BARES Y DISCOTECAS
239600,"CORTE, TALLA Y ACABADO DE LA PIEDRA",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
252000,FABRICACIÓN DE ARMAS Y MUNICIONES,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
268000,FABRICACIÓN DE SOPORTES MAGNÉTICOS Y ÓPTICOS,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
272000,"FABRICACIÓN DE PILAS, BATERÍAS Y ACUMULADORES",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
273100,FABRICACIÓN DE CABLES DE FIBRA ÓPTICA,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
275000,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
281500,"FABRICACIÓN DE HORNOS, CALDERAS Y QUEMADORES",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
281600,FABRICACIÓN DE EQUIPO DE ELEVACIÓN Y MANIPULACIÓN,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
281800,FABRICACIÓN DE HERRAMIENTAS DE MANO MOTORIZADAS,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
281900,FABRICACIÓN DE OTROS TIPOS DE MAQUINARIA DE USO GENERAL,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
282100,FABRICACIÓN DE MAQUINARIA AGROPECUARIA Y FORESTAL,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
282200,FABRICACIÓN DE MAQUINARIA PARA LA CONFORMACIÓN DE METALES Y DE MÁQUINAS HERRAMIENTA,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
282300,FABRICACIÓN DE MAQUINARIA METALÚRGICA,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
