Código Actividad SII,Nombre Actividad SII,Código MCC,Nombre MCC,Registrado en restricciones adquirentes
293000,"FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES",5013,Suministros para vehículos de motor y repuestos nuevos.,5013
293000,"FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES",5533,"Repuestos de automóviles, Tiendas de accesorios",5533
301100,"CONSTRUCCIÓN DE BUQUES, EMBARCACIONES MENORES Y ESTRUCTURAS FLOTANTES",5551,Distribuidores de barcos,5551
301200,CONSTRUCCIÓN DE EMBARCACIONES DE RECREO Y DE DEPORTE,5551,Distribuidores de barcos,5551
302000,FABRICACIÓN DE LOCOMOTORAS Y MATERIAL RODANTE,4011,Ferrocarriles,4011
303000,"FABRICACIÓN DE AERONAVES, NAVES ESPACIALES Y MAQUINARIA CONEXA",4511,"Aerolíneas, transportistas aéreos (no enumerados en otra parte)",4511
304000,FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE,7393,"Servicios de protección y seguridad, incluidos vehículos blindados y perros guardianes",7393
309100,FABRICACIÓN DE MOTOCICLETAS,5571,Concesionarios de motocicletas,5571
309200,FABRICACIÓN DE BICICLETAS Y DE SILLAS DE RUEDAS,5940,Tiendas de bicicletas – Ventas y servicio,5940
309200,FABRICACIÓN DE BICICLETAS Y DE SILLAS DE RUEDAS,5976,Artículos ortopédicos Dispositivos protésicos,5976
309900,FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.,5013,Suministros para vehículos de motor y repuestos nuevos.,5013
310001,FABRICACIÓN DE MUEBLES PRINCIPALMENTE DE MADERA,5211,Tiendas de madera y materiales de construcción,5211
310001,FABRICACIÓN DE MUEBLES PRINCIPALMENTE DE MADERA,5712,"Tiendas de muebles, muebles para el hogar y equipos, excepto electrodomésticos",5712
310001,FABRICACIÓN DE MUEBLES PRINCIPALMENTE DE MADERA,5719,Tiendas especializadas en muebles para el hogar varios,5719
310001,FABRICACIÓN DE MUEBLES PRINCIPALMENTE DE MADERA,7641,"Mobiliario, Reparación de muebles y Acabado de muebles",7641
310009,FABRICACIÓN DE COLCHONES; FABRICACIÓN DE OTROS MUEBLES N.C.P.,5712,"Tiendas de muebles, muebles para el hogar y equipos, excepto electrodomésticos",5712
310009,FABRICACIÓN DE COLCHONES; FABRICACIÓN DE OTROS MUEBLES N.C.P.,5719,Tiendas especializadas en muebles para el hogar varios,5719
321100,FABRICACIÓN DE JOYAS Y ARTÍCULOS CONEXOS,5094,"Piedras y metales preciosos, relojes y joyas",5094
321100,FABRICACIÓN DE JOYAS Y ARTÍCULOS CONEXOS,7631,"Reparación de relojes, relojes y joyas",7631
321200,FABRICACIÓN DE BISUTERÍA Y ARTÍCULOS CONEXOS,5094,"Piedras y metales preciosos, relojes y joyas",5094
321200,FABRICACIÓN DE BISUTERÍA Y ARTÍCULOS CONEXOS,5947,"Tiendas de tarjetas, tiendas de regalos, novedades y souvenirs",5947
321200,FABRICACIÓN DE BISUTERÍA Y ARTÍCULOS CONEXOS,7631,"Reparación de relojes, relojes y joyas",7631
322000,FABRICACIÓN DE INSTRUMENTOS MUSICALES,5733,"Tiendas de música, Instrumentos musicales, Partituras para piano",5733
323000,FABRICACIÓN DE ARTÍCULOS DE DEPORTE,5941,Tiendas de artículos deportivos,5941
324000,FABRICACIÓN DE JUEGOS Y JUGUETES,5945,"Tiendas de pasatiempos, juguetes y juegos",5945
325001,ACTIVIDADES DE LABORATORIOS DENTALES,8021,Dentistas y Ortodoncistas,8021
325001,ACTIVIDADES DE LABORATORIOS DENTALES,8071,Laboratorios médicos y dentales,8071
325009,"FABRICACIÓN DE INSTRUMENTOS Y MATERIALES MÉDICOS, OFTALMOLÓGICOS Y ODONTOLÓGICOS N.C.P.",5047,"Equipos y suministros médicos, dentales, oftalmológicos y hospitalarios.",5047
329000,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P.,5085,"Suministros industriales, no clasificados en otra parte",5085
331100,REPARACIÓN DE PRODUCTOS ELABORADOS DE METAL,5051,Centros y Oficinas de Servicio de Metales,5051
331100,REPARACIÓN DE PRODUCTOS ELABORADOS DE METAL,7699,Talleres de reparación y servicios relacionados –Varios,7699
331201,REPARACIÓN DE MAQUINARIA AGROPECUARIA Y FORESTAL,7699,Talleres de reparación y servicios relacionados –Varios,7699
331202,"REPARACIÓN DE MAQUINARIA METALÚRGICA, PARA LA MINERÍA, EXTRACCIÓN DE PETRÓLEO Y PARA LA CONSTRUCCIÓN",5051,Centros y Oficinas de Servicio de Metales,5051
331202,"REPARACIÓN DE MAQUINARIA METALÚRGICA, PARA LA MINERÍA, EXTRACCIÓN DE PETRÓLEO Y PARA LA CONSTRUCCIÓN",7692,Reparación de soldadura,7692
331202,"REPARACIÓN DE MAQUINARIA METALÚRGICA, PARA LA MINERÍA, EXTRACCIÓN DE PETRÓLEO Y PARA LA CONSTRUCCIÓN",7699,Talleres de reparación y servicios relacionados –Varios,7699
331203,"REPARACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS, BEBIDAS Y TABACO",7699,Talleres de reparación y servicios relacionados –Varios,7699
331204,"REPARACIÓN DE MAQUINARIA PARA PRODUCIR TEXTILES, PRENDAS DE VESTIR, ARTÍCULOS DE CUERO Y CALZADO",7699,Talleres de reparación y servicios relacionados –Varios,7699
331209,REPARACIÓN DE OTRO TIPO DE MAQUINARIA Y EQUIPOS INDUSTRIALES N.C.P.,7692,Reparación de soldadura,7692
331209,REPARACIÓN DE OTRO TIPO DE MAQUINARIA Y EQUIPOS INDUSTRIALES N.C.P.,7699,Talleres de reparación y servicios relacionados –Varios,7699
331301,"REPARACIÓN DE EQUIPO DE MEDICIÓN, PRUEBA, NAVEGACIÓN Y CONTROL",7699,Talleres de reparación y servicios relacionados –Varios,7699
331309,REPARACIÓN DE OTROS EQUIPOS ELECTRÓNICOS Y ÓPTICOS N.C.P.,7699,Talleres de reparación y servicios relacionados –Varios,7699
331400,REPARACIÓN DE EQUIPO ELÉCTRICO (EXCEPTO REPARACIÓN DE EQUIPO Y ENSERES DOMÉSTICOS),7699,Talleres de reparación y servicios relacionados –Varios,7699
331501,"REPARACIÓN DE BUQUES, EMBARCACIONES MENORES Y ESTRUCTURAS FLOTANTES",7699,Talleres de reparación y servicios relacionados –Varios,7699
331502,REPARACIÓN DE AERONAVES Y NAVES ESPACIALES,7699,Talleres de reparación y servicios relacionados –Varios,7699
331509,"REPARACIÓN DE OTROS EQUIPOS DE TRANSPORTE N.C.P., EXCEPTO VEHÍCULOS AUTOMOTORES",7699,Talleres de reparación y servicios relacionados –Varios,7699
331900,REPARACIÓN DE OTROS TIPOS DE EQUIPO,7699,Talleres de reparación y servicios relacionados –Varios,7699
332000,INSTALACIÓN DE MAQUINARIA Y EQUIPOS INDUSTRIALES,8999,Servicios profesionales (no definidos en otra parte),8999
351011,GENERACIÓN DE ENERGÍA ELÉCTRICA EN CENTRALES HIDROELÉCTRICAS,4900,"Servicios Públicos de Electricidad, Gas, Sanitarios y Agua",4900
351012,GENERACIÓN DE ENERGÍA ELÉCTRICA EN CENTRALES TERMOELÉCTRICAS,4900,"Servicios Públicos de Electricidad, Gas, Sanitarios y Agua",4900
351019,GENERACIÓN DE ENERGÍA ELÉCTRICA EN OTRAS CENTRALES N.C.P.,4900,"Servicios Públicos de Electricidad, Gas, Sanitarios y Agua",4900
351020,TRANSMISIÓN DE ENERGÍA ELÉCTRICA,4900,"Servicios Públicos de Electricidad, Gas, Sanitarios y Agua",4900
351030,DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA,4900,"Servicios Públicos de Electricidad, Gas, Sanitarios y Agua",4900
352010,REGASIFICACIÓN DE GAS NATURAL LICUADO (GNL),5983,"Combustible: fueloil, madera, carbón, petróleo licuado",5983
352020,"FABRICACIÓN DE GAS; DISTRIBUCIÓN DE COMBUSTIBLES GASEOSOS POR TUBERÍA, EXCEPTO REGASIFICACIÓN DE GNL",5983,"Combustible: fueloil, madera, carbón, petróleo licuado",5983
353001,SUMINISTRO DE VAPOR Y DE AIRE ACONDICIONADO,1711,"Contratistas de aire acondicionado: ventas e instalación, Contratistas de calefacción: ventas, servicio, instalación",1711
353002,ELABORACIÓN DE HIELO (EXCEPTO FABRICACIÓN DE HIELO SECO),5169,"Productos químicos y productos afines, no clasificados en otra parte",5169
360000,"CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",4900,"Servicios Públicos de Electricidad, Gas, Sanitarios y Agua",4900
370000,EVACUACIÓN Y TRATAMIENTO DE AGUAS SERVIDAS,4900,"Servicios Públicos de Electricidad, Gas, Sanitarios y Agua",4900
381100,RECOGIDA DE DESECHOS NO PELIGROSOS,4214,"Transportistas de carga, empresas de mudanzas y almacenamiento, transporte por carretera (local/larga distancia), servicios de entrega (local)",4214
381100,RECOGIDA DE DESECHOS NO PELIGROSOS,5935,Patios de demolición y salvamento,5935
381100,RECOGIDA DE DESECHOS NO PELIGROSOS,7399,"Servicios comerciales, no clasificados en otra parte",7399
381200,RECOGIDA DE DESECHOS PELIGROSOS,5169,"Productos químicos y productos afines, no clasificados en otra parte",5169
382100,TRATAMIENTO Y ELIMINACIÓN DE DESECHOS NO PELIGROSOS,4214,"Transportistas de carga, empresas de mudanzas y almacenamiento, transporte por carretera (local/larga distancia), servicios de entrega (local)",4214
382100,TRATAMIENTO Y ELIMINACIÓN DE DESECHOS NO PELIGROSOS,5935,Patios de demolición y salvamento,5935
382100,TRATAMIENTO Y ELIMINACIÓN DE DESECHOS NO PELIGROSOS,7399,"Servicios comerciales, no clasificados en otra parte",7399
382200,TRATAMIENTO Y ELIMINACIÓN DE DESECHOS PELIGROSOS,5169,"Productos químicos y productos afines, no clasificados en otra parte",5169
383001,RECUPERACIÓN Y RECICLAMIENTO DE DESPERDICIOS Y DESECHOS METÁLICOS,5051,Centros y Oficinas de Servicio de Metales,5051
383002,RECUPERACIÓN Y RECICLAMIENTO DE PAPEL,5111,"Papelería, Material de oficina, Papel de impresión y para escribir",5111
383002,RECUPERACIÓN Y RECICLAMIENTO DE PAPEL,5999,Tiendas minoristas diversas y especializadas,5999
383002,RECUPERACIÓN Y RECICLAMIENTO DE PAPEL,7399,"Servicios comerciales, no clasificados en otra parte",7399
383003,RECUPERACIÓN Y RECICLAMIENTO DE VIDRIO,5935,Patios de demolición y salvamento,5935
383003,RECUPERACIÓN Y RECICLAMIENTO DE VIDRIO,5999,Tiendas minoristas diversas y especializadas,5999
383003,RECUPERACIÓN Y RECICLAMIENTO DE VIDRIO,7399,"Servicios comerciales, no clasificados en otra parte",7399
383009,RECUPERACIÓN Y RECICLAMIENTO DE OTROS DESPERDICIOS Y DESECHOS N.C.P.,5935,Patios de demolición y salvamento,5935
383009,RECUPERACIÓN Y RECICLAMIENTO DE OTROS DESPERDICIOS Y DESECHOS N.C.P.,5999,Tiendas minoristas diversas y especializadas,5999
383009,RECUPERACIÓN Y RECICLAMIENTO DE OTROS DESPERDICIOS Y DESECHOS N.C.P.,7399,"Servicios comerciales, no clasificados en otra parte",7399
390000,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,2842,"Preparaciones especiales de limpieza, pulido y saneamiento",2842
390000,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,7210,"Servicios de lavandería, limpieza y confección",7210
410010,CONSTRUCCIÓN DE EDIFICIOS PARA USO RESIDENCIAL,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
410010,CONSTRUCCIÓN DE EDIFICIOS PARA USO RESIDENCIAL,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
410020,CONSTRUCCIÓN DE EDIFICIOS PARA USO NO RESIDENCIAL,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
421000,CONSTRUCCIÓN DE CARRETERAS Y LÍNEAS DE FERROCARRIL,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
422000,CONSTRUCCIÓN DE PROYECTOS DE SERVICIO PÚBLICO,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
429000,CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
431100,DEMOLICIÓN,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
431200,PREPARACIÓN DEL TERRENO,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
432100,INSTALACIONES ELÉCTRICAS,1731,Contratistas eléctricos,1731
432100,INSTALACIONES ELÉCTRICAS,8999,Servicios profesionales (no definidos en otra parte),8999
432200,"INSTALACIONES DE GASFITERÍA, CALEFACCIÓN Y AIRE ACONDICIONADO",1711,"Contratistas de aire acondicionado: ventas e instalación, Contratistas de calefacción: ventas, servicio, instalación",1711
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,1711,"Contratistas de aire acondicionado: ventas e instalación, Contratistas de calefacción: ventas, servicio, instalación",1711
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,1731,Contratistas eléctricos,1731
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,1740,"Aislamiento: contratistas, contratistas de albañilería, contratistas de cantería, contratistas de yeso, contratistas de cantería y mampostería, contratistas de colocación de azulejos",1740
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,1750,Contratistas de carpintería,1750
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,1761,"Techos – Contratistas, Trabajos de chapa metálica – Contratistas, Revestimientos – Contratistas",1761
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,1771,Contratistas – Trabajos de Concreto,1771
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,1711,"Contratistas de aire acondicionado: ventas e instalación, Contratistas de calefacción: ventas, servicio, instalación",1711
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,1731,Contratistas eléctricos,1731
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,1740,"Aislamiento: contratistas, contratistas de albañilería, contratistas de cantería, contratistas de yeso, contratistas de cantería y mampostería, contratistas de colocación de azulejos",1740
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,1750,Contratistas de carpintería,1750
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,1761,"Techos – Contratistas, Trabajos de chapa metálica – Contratistas, Revestimientos – Contratistas",1761
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,1771,Contratistas – Trabajos de Concreto,1771
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
439000,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,1711,"Contratistas de aire acondicionado: ventas e instalación, Contratistas de calefacción: ventas, servicio, instalación",1711
439000,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,1731,Contratistas eléctricos,1731
439000,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,1740,"Aislamiento: contratistas, contratistas de albañilería, contratistas de cantería, contratistas de yeso, contratistas de cantería y mampostería, contratistas de colocación de azulejos",1740
439000,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,1750,Contratistas de carpintería,1750
439000,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,1761,"Techos – Contratistas, Trabajos de chapa metálica – Contratistas, Revestimientos – Contratistas",1761
439000,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,1771,Contratistas – Trabajos de Concreto,1771
439000,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,8911,Servicios de Arquitectura – Ingeniería y Topografía,8911
451001,VENTA AL POR MAYOR DE VEHÍCULOS AUTOMOTORES,5511,"Concesionarios de automóviles y camiones (nuevos y usados) Ventas, servicios, reparaciones, repuestos y arrendamiento",5511
451001,VENTA AL POR MAYOR DE VEHÍCULOS AUTOMOTORES,5599,Concesionarios de automóviles varios,5599
451002,VENTA AL POR MENOR DE VEHÍCULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA),5511,"Concesionarios de automóviles y camiones (nuevos y usados) Ventas, servicios, reparaciones, repuestos y arrendamiento",5511
451002,VENTA AL POR MENOR DE VEHÍCULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA),5521,Concesionarios de automóviles y camiones (solo usados),5521
451002,VENTA AL POR MENOR DE VEHÍCULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA),5599,Concesionarios de automóviles varios,5599
452001,SERVICIO DE LAVADO DE VEHÍCULOS AUTOMOTORES,7542,Lavados de autos,7542
452002,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,5511,"Concesionarios de automóviles y camiones (nuevos y usados) Ventas, servicios, reparaciones, repuestos y arrendamiento",5511
452002,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,7531,Talleres de reparación de carrocerías de automóviles,7531
452002,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,7534,Talleres de recauchutado y reparación de neumáticos,7534
452002,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,7535,Talleres de pintura – Automotriz,7535
452002,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,7538,Talleres de servicio automotriz,7538
453000,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES",5013,Suministros para vehículos de motor y repuestos nuevos.,5013
453000,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES",5511,"Concesionarios de automóviles y camiones (nuevos y usados) Ventas, servicios, reparaciones, repuestos y arrendamiento",5511
453000,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES",5533,"Repuestos de automóviles, Tiendas de accesorios",5533
454001,VENTA DE MOTOCICLETAS,5571,Concesionarios de motocicletas,5571
454002,"VENTA DE PARTES, PIEZAS Y ACCESORIOS DE MOTOCICLETAS",5013,Suministros para vehículos de motor y repuestos nuevos.,5013
454003,MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS,7699,Talleres de reparación y servicios relacionados –Varios,7699
461001,CORRETAJE AL POR MAYOR DE PRODUCTOS AGRÍCOLAS,763,Cooperativas Agrícolas,763
461002,CORRETAJE AL POR MAYOR DE GANADO,763,Cooperativas Agrícolas,763
461009,OTROS TIPOS DE CORRETAJES O REMATES AL POR MAYOR N.C.P.,9999,"Las casas de subastas [no incluyen filiales de empresas cotizadas públicamente ni casas de subastas establecidas de naturaleza indudable (es decir, Christies, Sotheby's)].",9999
462010,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS,763,Cooperativas Agrícolas,763
462010,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS,5193,"Suministros para floristas, material para viveros y flores",5193
462010,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS,5261,Viveros - Tienda de suministros para césped y jardín,5261
462010,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS,5300,Clubes Mayoristas,5300
462020,VENTA AL POR MAYOR DE ANIMALES VIVOS,763,Cooperativas Agrícolas,763
462020,VENTA AL POR MAYOR DE ANIMALES VIVOS,5300,Clubes Mayoristas,5300
462090,VENTA AL POR MAYOR DE OTRAS MATERIAS PRIMAS AGROPECUARIAS N.C.P.,763,Cooperativas Agrícolas,763
462090,VENTA AL POR MAYOR DE OTRAS MATERIAS PRIMAS AGROPECUARIAS N.C.P.,5193,"Suministros para floristas, material para viveros y flores",5193
462090,VENTA AL POR MAYOR DE OTRAS MATERIAS PRIMAS AGROPECUARIAS N.C.P.,5261,Viveros - Tienda de suministros para césped y jardín,5261
462090,VENTA AL POR MAYOR DE OTRAS MATERIAS PRIMAS AGROPECUARIAS N.C.P.,5300,Clubes Mayoristas,5300
462090,VENTA AL POR MAYOR DE OTRAS MATERIAS PRIMAS AGROPECUARIAS N.C.P.,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
463011,VENTA AL POR MAYOR DE FRUTAS Y VERDURAS,5262,Marketplaces,5262
463011,VENTA AL POR MAYOR DE FRUTAS Y VERDURAS,5300,Clubes Mayoristas,5300
463012,VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS,5262,Marketplaces,5262
463012,VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS,5300,Clubes Mayoristas,5300
463012,VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
463013,"VENTA AL POR MAYOR DE PRODUCTOS DEL MAR (PESCADOS, MARISCOS Y ALGAS)",5262,Marketplaces,5262
463013,"VENTA AL POR MAYOR DE PRODUCTOS DEL MAR (PESCADOS, MARISCOS Y ALGAS)",5300,Clubes Mayoristas,5300
463013,"VENTA AL POR MAYOR DE PRODUCTOS DEL MAR (PESCADOS, MARISCOS Y ALGAS)",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
463014,VENTA AL POR MAYOR DE PRODUCTOS DE CONFITERÍA,5262,Marketplaces,5262
463014,VENTA AL POR MAYOR DE PRODUCTOS DE CONFITERÍA,5300,Clubes Mayoristas,5300
463014,VENTA AL POR MAYOR DE PRODUCTOS DE CONFITERÍA,5441,"Tiendas de dulces, nueces y confitería",5441
463014,VENTA AL POR MAYOR DE PRODUCTOS DE CONFITERÍA,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
463019,"VENTA AL POR MAYOR DE HUEVOS, LÁCTEOS, ABARROTES Y DE OTROS ALIMENTOS N.C.P.",5262,Marketplaces,5262
463019,"VENTA AL POR MAYOR DE HUEVOS, LÁCTEOS, ABARROTES Y DE OTROS ALIMENTOS N.C.P.",5300,Clubes Mayoristas,5300
463019,"VENTA AL POR MAYOR DE HUEVOS, LÁCTEOS, ABARROTES Y DE OTROS ALIMENTOS N.C.P.",5411,"Tiendas de comestibles, Supermercados",5411
463019,"VENTA AL POR MAYOR DE HUEVOS, LÁCTEOS, ABARROTES Y DE OTROS ALIMENTOS N.C.P.",5451,Tiendas de productos lácteos,5451
463019,"VENTA AL POR MAYOR DE HUEVOS, LÁCTEOS, ABARROTES Y DE OTROS ALIMENTOS N.C.P.",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
463020,VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS,5262,Marketplaces,5262
463020,VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS,5300,Clubes Mayoristas,5300
463020,VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS,5411,"Tiendas de comestibles, Supermercados",5411
463020,VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
463030,VENTA AL POR MAYOR DE TABACO,5262,Marketplaces,5262
463030,VENTA AL POR MAYOR DE TABACO,5300,Clubes Mayoristas,5300
463030,VENTA AL POR MAYOR DE TABACO,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
463030,VENTA AL POR MAYOR DE TABACO,5993,Estancos y puestos de tabaco,5993
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5137,"Uniformes y ropa comercial para hombres, mujeres y niños.",5137
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5139,Calzado Comercial,5139
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5262,Marketplaces,5262
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5300,Clubes Mayoristas,5300
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5611,Tiendas de ropa y complementos para hombre y niño,5611
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5651,Tiendas de ropa familiar,5651
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5655,"Ropa deportiva, Tiendas de ropa para montar",5655
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5661,Zapaterías,5661
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5691,Tiendas de ropa para hombres y mujeres,5691
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5699,Tiendas de ropa y accesorios varios,5699
464901,"VENTA AL POR MAYOR DE MUEBLES, EXCEPTO MUEBLES DE OFICINA",5262,Marketplaces,5262
464901,"VENTA AL POR MAYOR DE MUEBLES, EXCEPTO MUEBLES DE OFICINA",5300,Clubes Mayoristas,5300
464901,"VENTA AL POR MAYOR DE MUEBLES, EXCEPTO MUEBLES DE OFICINA",7641,"Mobiliario, Reparación de muebles y Acabado de muebles",7641
464902,VENTA AL POR MAYOR DE ARTÍCULOS ELÉCTRICOS Y ELECTRÓNICOS PARA EL HOGAR,5262,Marketplaces,5262
464902,VENTA AL POR MAYOR DE ARTÍCULOS ELÉCTRICOS Y ELECTRÓNICOS PARA EL HOGAR,5300,Clubes Mayoristas,5300
464902,VENTA AL POR MAYOR DE ARTÍCULOS ELÉCTRICOS Y ELECTRÓNICOS PARA EL HOGAR,5722,Tiendas de electrodomésticos,5722
464903,"VENTA AL POR MAYOR DE ARTÍCULOS DE PERFUMERÍA, DE TOCADOR Y COSMÉTICOS",5262,Marketplaces,5262
464903,"VENTA AL POR MAYOR DE ARTÍCULOS DE PERFUMERÍA, DE TOCADOR Y COSMÉTICOS",5300,Clubes Mayoristas,5300
464903,"VENTA AL POR MAYOR DE ARTÍCULOS DE PERFUMERÍA, DE TOCADOR Y COSMÉTICOS",5977,Tiendas de cosméticos,5977
464904,VENTA AL POR MAYOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO,5111,"Papelería, Material de oficina, Papel de impresión y para escribir",5111
464904,VENTA AL POR MAYOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO,5262,Marketplaces,5262
464904,VENTA AL POR MAYOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO,5300,Clubes Mayoristas,5300
464904,VENTA AL POR MAYOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO,5943,"Papelerías, Tiendas de útiles escolares y de oficina",5943
464905,VENTA AL POR MAYOR DE LIBROS,5192,"Libros, publicaciones periódicas y periódicos",5192
464905,VENTA AL POR MAYOR DE LIBROS,5262,Marketplaces,5262
464905,VENTA AL POR MAYOR DE LIBROS,5300,Clubes Mayoristas,5300
464905,VENTA AL POR MAYOR DE LIBROS,5942,Librerías,5942
464906,VENTA AL POR MAYOR DE DIARIOS Y REVISTAS,5192,"Libros, publicaciones periódicas y periódicos",5192
