Código Actividad SII,Nombre Actividad SII,Código MCC,Nombre MCC,Registrado en restricciones adquirentes
012112,CULTIVO DE UVA DESTINADA A LA PRODUCCIÓN DE VINO,763,Cooperativas Agrícolas,763
012112,CULTIVO DE UVA DESTINADA A LA PRODUCCIÓN DE VINO,780,"Servicios de horticultura, Servicios de paisajismo",780
012120,CULTIVO DE UVA PARA MESA,763,Cooperativas Agrícolas,763
012120,CULTIVO DE UVA PARA MESA,780,"Servicios de horticultura, Servicios de paisajismo",780
012200,CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES (INCLUYE EL CULTIVO DE PALTAS),763,Cooperativas Agrícolas,763
012200,CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES (INCLUYE EL CULTIVO DE PALTAS),780,"Servicios de horticultura, Servicios de paisajismo",780
012300,CULTIVO DE CÍTRICOS,763,Cooperativas Agrícolas,763
012300,CULTIVO DE CÍTRICOS,780,"Servicios de horticultura, Servicios de paisajismo",780
012400,CULTIVO DE FRUTAS DE PEPITA Y DE HUESO,763,Cooperativas Agrícolas,763
012400,CULTIVO DE FRUTAS DE PEPITA Y DE HUESO,780,"Servicios de horticultura, Servicios de paisajismo",780
012501,CULTIVO DE SEMILLAS DE FRUTAS,763,Cooperativas Agrícolas,763
012501,CULTIVO DE SEMILLAS DE FRUTAS,780,"Servicios de horticultura, Servicios de paisajismo",780
012501,CULTIVO DE SEMILLAS DE FRUTAS,5193,"Suministros para floristas, material para viveros y flores",5193
012502,CULTIVO DE OTROS FRUTOS Y NUECES DE ÁRBOLES Y ARBUSTOS,763,Cooperativas Agrícolas,763
012502,CULTIVO DE OTROS FRUTOS Y NUECES DE ÁRBOLES Y ARBUSTOS,780,"Servicios de horticultura, Servicios de paisajismo",780
012600,CULTIVO DE FRUTOS OLEAGINOSOS (INCLUYE EL CULTIVO DE ACEITUNAS),763,Cooperativas Agrícolas,763
012600,CULTIVO DE FRUTOS OLEAGINOSOS (INCLUYE EL CULTIVO DE ACEITUNAS),780,"Servicios de horticultura, Servicios de paisajismo",780
012700,"CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS (INCLUYE EL CULTIVO DE CAFÉ, TÉ Y MATE)",763,Cooperativas Agrícolas,763
012700,"CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS (INCLUYE EL CULTIVO DE CAFÉ, TÉ Y MATE)",780,"Servicios de horticultura, Servicios de paisajismo",780
012801,CULTIVO DE ESPECIAS,763,Cooperativas Agrícolas,763
012801,CULTIVO DE ESPECIAS,780,"Servicios de horticultura, Servicios de paisajismo",780
012801,CULTIVO DE ESPECIAS,5261,Viveros - Tienda de suministros para césped y jardín,5261
012802,"CULTIVO DE PLANTAS AROMÁTICAS, MEDICINALES Y FARMACÉUTICAS",763,Cooperativas Agrícolas,763
012802,"CULTIVO DE PLANTAS AROMÁTICAS, MEDICINALES Y FARMACÉUTICAS",780,"Servicios de horticultura, Servicios de paisajismo",780
012802,"CULTIVO DE PLANTAS AROMÁTICAS, MEDICINALES Y FARMACÉUTICAS",5261,Viveros - Tienda de suministros para césped y jardín,5261
012900,CULTIVO DE OTRAS PLANTAS PERENNES,763,Cooperativas Agrícolas,763
012900,CULTIVO DE OTRAS PLANTAS PERENNES,780,"Servicios de horticultura, Servicios de paisajismo",780
012900,CULTIVO DE OTRAS PLANTAS PERENNES,5261,Viveros - Tienda de suministros para césped y jardín,5261
013000,CULTIVO DE PLANTAS VIVAS INCLUIDA LA PRODUCCIÓN EN VIVEROS (EXCEPTO VIVEROS FORESTALES),763,Cooperativas Agrícolas,763
013000,CULTIVO DE PLANTAS VIVAS INCLUIDA LA PRODUCCIÓN EN VIVEROS (EXCEPTO VIVEROS FORESTALES),780,"Servicios de horticultura, Servicios de paisajismo",780
013000,CULTIVO DE PLANTAS VIVAS INCLUIDA LA PRODUCCIÓN EN VIVEROS (EXCEPTO VIVEROS FORESTALES),5261,Viveros - Tienda de suministros para césped y jardín,5261
014101,CRÍA DE GANADO BOVINO PARA LA PRODUCCIÓN LECHERA,763,Cooperativas Agrícolas,763
014101,CRÍA DE GANADO BOVINO PARA LA PRODUCCIÓN LECHERA,5399,Varios. Mercancía General,5399
014102,CRÍA DE GANADO BOVINO PARA LA PRODUCCIÓN DE CARNE O COMO GANADO REPRODUCTOR,763,Cooperativas Agrícolas,763
014200,CRÍA DE CABALLOS Y OTROS EQUINOS,763,Cooperativas Agrícolas,763
014300,"CRÍA DE LLAMAS, ALPACAS, VICUÑAS, GUANACOS Y OTROS CAMÉLIDOS",763,Cooperativas Agrícolas,763
014410,CRÍA DE OVEJAS (OVINOS),763,Cooperativas Agrícolas,763
014420,CRÍA DE CABRAS (CAPRINOS),763,Cooperativas Agrícolas,763
014500,CRÍA DE CERDOS,763,Cooperativas Agrícolas,763
014601,CRÍA DE AVES DE CORRAL PARA LA PRODUCCIÓN DE CARNE,763,Cooperativas Agrícolas,763
014602,CRÍA DE AVES DE CORRAL PARA LA PRODUCCIÓN DE HUEVOS,763,Cooperativas Agrícolas,763
014901,APICULTURA,763,Cooperativas Agrícolas,763
014909,CRÍA DE OTROS ANIMALES N.C.P.,763,Cooperativas Agrícolas,763
015000,CULTIVO DE PRODUCTOS AGRÍCOLAS EN COMBINACIÓN CON LA CRÍA DE ANIMALES (EXPLOTACIÓN MIXTA),763,Cooperativas Agrícolas,763
015000,CULTIVO DE PRODUCTOS AGRÍCOLAS EN COMBINACIÓN CON LA CRÍA DE ANIMALES (EXPLOTACIÓN MIXTA),780,"Servicios de horticultura, Servicios de paisajismo",780
016100,ACTIVIDADES DE APOYO A LA AGRICULTURA,763,Cooperativas Agrícolas,763
016100,ACTIVIDADES DE APOYO A LA AGRICULTURA,780,"Servicios de horticultura, Servicios de paisajismo",780
016100,ACTIVIDADES DE APOYO A LA AGRICULTURA,5193,"Suministros para floristas, material para viveros y flores",5193
016100,ACTIVIDADES DE APOYO A LA AGRICULTURA,5261,Viveros - Tienda de suministros para césped y jardín,5261
016200,ACTIVIDADES DE APOYO A LA GANADERÍA,763,Cooperativas Agrícolas,763
016300,ACTIVIDADES POSCOSECHA,763,Cooperativas Agrícolas,763
016300,ACTIVIDADES POSCOSECHA,780,"Servicios de horticultura, Servicios de paisajismo",780
016300,ACTIVIDADES POSCOSECHA,5193,"Suministros para floristas, material para viveros y flores",5193
016300,ACTIVIDADES POSCOSECHA,5261,Viveros - Tienda de suministros para césped y jardín,5261
016400,TRATAMIENTO DE SEMILLAS PARA PROPAGACIÓN,763,Cooperativas Agrícolas,763
016400,TRATAMIENTO DE SEMILLAS PARA PROPAGACIÓN,780,"Servicios de horticultura, Servicios de paisajismo",780
017000,CAZA ORDINARIA Y MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS,763,Cooperativas Agrícolas,763
021001,EXPLOTACIÓN DE VIVEROS FORESTALES,763,Cooperativas Agrícolas,763
021001,EXPLOTACIÓN DE VIVEROS FORESTALES,5261,Viveros - Tienda de suministros para césped y jardín,5261
021002,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES (EXCEPTO EXPLOTACIÓN DE VIVEROS FORESTALES),763,Cooperativas Agrícolas,763
021002,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES (EXCEPTO EXPLOTACIÓN DE VIVEROS FORESTALES),780,"Servicios de horticultura, Servicios de paisajismo",780
022000,EXTRACCIÓN DE MADERA,763,Cooperativas Agrícolas,763
023000,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA,763,Cooperativas Agrícolas,763
024001,SERVICIOS DE FORESTACIÓN A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,763,Cooperativas Agrícolas,763
024001,SERVICIOS DE FORESTACIÓN A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,1799,"Contratistas: comercio especial, no clasificados en otra parte",1799
024002,SERVICIOS DE CORTA DE MADERA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,763,Cooperativas Agrícolas,763
024002,SERVICIOS DE CORTA DE MADERA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,1799,"Contratistas: comercio especial, no clasificados en otra parte",1799
024003,SERVICIOS DE EXTINCIÓN Y PREVENCIÓN DE INCENDIOS FORESTALES,8999,Servicios profesionales (no definidos en otra parte),8999
024009,OTROS SERVICIOS DE APOYO A LA SILVICULTURA N.C.P.,763,Cooperativas Agrícolas,763
024009,OTROS SERVICIOS DE APOYO A LA SILVICULTURA N.C.P.,780,"Servicios de horticultura, Servicios de paisajismo",780
031110,"PESCA MARÍTIMA INDUSTRIAL, EXCEPTO DE BARCOS FACTORÍA",763,Cooperativas Agrícolas,763
031120,PESCA MARÍTIMA ARTESANAL,763,Cooperativas Agrícolas,763
031130,RECOLECCIÓN Y EXTRACCIÓN DE PRODUCTOS MARINOS,763,Cooperativas Agrícolas,763
031140,SERVICIOS RELACIONADOS CON LA PESCA MARÍTIMA,763,Cooperativas Agrícolas,763
031200,PESCA DE AGUA DULCE,763,Cooperativas Agrícolas,763
032110,CULTIVO Y CRIANZA DE PECES MARINOS,763,Cooperativas Agrícolas,763
032120,"CULTIVO, REPRODUCCIÓN Y MANEJO DE ALGAS MARINAS",763,Cooperativas Agrícolas,763
032130,"REPRODUCCIÓN Y CRÍA DE MOLUSCOS, CRUSTÁCEOS Y GUSANOS MARINOS",763,Cooperativas Agrícolas,763
032140,SERVICIOS RELACIONADOS CON LA ACUICULTURA MARINA,763,Cooperativas Agrícolas,763
032200,ACUICULTURA DE AGUA DULCE,763,Cooperativas Agrícolas,763
040000,EXTRACCIÓN Y PROCESAMIENTO DE COBRE,5051,Centros y Oficinas de Servicio de Metales,5051
040000,EXTRACCIÓN Y PROCESAMIENTO DE COBRE,5085,"Suministros industriales, no clasificados en otra parte",5085
051000,EXTRACCIÓN DE CARBÓN DE PIEDRA,5051,Centros y Oficinas de Servicio de Metales,5051
051000,EXTRACCIÓN DE CARBÓN DE PIEDRA,5085,"Suministros industriales, no clasificados en otra parte",5085
052000,EXTRACCIÓN DE LIGNITO,5051,Centros y Oficinas de Servicio de Metales,5051
052000,EXTRACCIÓN DE LIGNITO,5085,"Suministros industriales, no clasificados en otra parte",5085
061000,EXTRACCIÓN DE PETRÓLEO CRUDO,5051,Centros y Oficinas de Servicio de Metales,5051
061000,EXTRACCIÓN DE PETRÓLEO CRUDO,5085,"Suministros industriales, no clasificados en otra parte",5085
062000,EXTRACCIÓN DE GAS NATURAL,5051,Centros y Oficinas de Servicio de Metales,5051
062000,EXTRACCIÓN DE GAS NATURAL,5085,"Suministros industriales, no clasificados en otra parte",5085
071000,EXTRACCIÓN DE MINERALES DE HIERRO,5051,Centros y Oficinas de Servicio de Metales,5051
071000,EXTRACCIÓN DE MINERALES DE HIERRO,5085,"Suministros industriales, no clasificados en otra parte",5085
072100,EXTRACCIÓN DE MINERALES DE URANIO Y TORIO,5051,Centros y Oficinas de Servicio de Metales,5051
072100,EXTRACCIÓN DE MINERALES DE URANIO Y TORIO,5085,"Suministros industriales, no clasificados en otra parte",5085
072910,EXTRACCIÓN DE ORO Y PLATA,5051,Centros y Oficinas de Servicio de Metales,5051
072910,EXTRACCIÓN DE ORO Y PLATA,5085,"Suministros industriales, no clasificados en otra parte",5085
